순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
1,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235",1.02443E+11,"12,248,257",22900085259,"2,635,874",판타지,12세이상관람가,상업영화
2,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912",47349137705,"5,871,436",11206299005,"1,361,799",판타지,12세이상관람가,상업영화
3,1987,장준환,(주)우정필름,,씨제이이앤엠(주),2017-12-27,개봉영화,장편,한국,"1,299",42912306108,"5,289,693",10812800608,"1,303,525",드라마,15세이상관람가,상업영화
4,독전,이해영,(주)용필름,,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357",43484892913,"5,063,620",10658158413,"1,201,461",범죄,15세이상관람가,상업영화
5,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,씨제이이앤엠(주),2018-08-08,개봉영화,장편,한국,"1,317",42738909676,"4,967,936",10291622676,"1,157,499",드라마,12세이상관람가,상업영화
6,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,주식회사 모티브랩",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,538",38892532642,"4,528,270",8403208092,"953,486",사극,12세이상관람가,상업영화
7,그것만이 내 세상,최성현,"(주)제이케이필름,씨제이이앤엠(주)",,씨제이이앤엠(주),2018-01-17,개봉영화,장편,한국,862,27441489382,"3,417,677",6258257482,"759,455",코미디,12세이상관람가,상업영화
8,마녀,박훈정,"(주)영화사 금월,(주)페퍼민트앤컴퍼니",,워너브러더스 코리아(주),2018-06-27,개봉영화,장편,한국,"1,117",27242266463,"3,189,127",6459971863,"732,155",미스터리,15세이상관람가,상업영화
9,탐정: 리턴즈,이언희,(주)크리픽쳐스,,씨제이이앤엠(주),2018-06-13,개봉영화,장편,한국,"1,041",26865775678,"3,148,047",5989673378,"680,077",코미디,15세이상관람가,상업영화
10,너의 결혼식,이석근,"(주)필름케이,(주)외유내강",,메가박스중앙(주)플러스엠,2018-08-22,개봉영화,장편,한국,962,23646937069,"2,816,621",5843135919,"665,677",멜로/로맨스,12세이상관람가,상업영화
11,곤지암,정범식,(주)하이브미디어코프,,(주)쇼박스,2018-03-28,개봉영화,장편,한국,"1,124",21442440144,"2,675,618",4978152594,"596,536",공포(호러),15세이상관람가,상업영화
12,지금 만나러 갑니다,이장훈,"(주)무비락,(주)도서관옆스튜디오,(주)푸른나무픽쳐스",,롯데쇼핑㈜롯데엔터테인먼트,2018-03-14,개봉영화,장편,한국,"1,163",20801160128,"2,602,316",5390273428,"652,981",멜로/로맨스,12세이상관람가,상업영화
